Y,X1,X2,X3
12002220,509,131,180
200433900,919,300,727
100249182,451,233,954
17172954,159,282,383
247721280,688,510,706
32025798,322,129,771
50148098,677,814,91
41838928,292,226,634
199878448,847,602,392
91455210,913,126,795
63960984,461,328,423
78184404,316,743,333
3468960,730,108,44
16555860,129,690,186
1770413,59,811,37
311104164,569,849,644
3379600,200,238,71
73391968,331,533,416
315573720,980,861,374
754615998,827,978,933
103433967,323,897,357
693157164,821,874,966
53476900,850,166,379
162776250,875,585,318
2839200,350,208,39
196211444,254,803,962
4898880,378,40,324
151907379,233,949,687
429903888,888,493,982
104907142,311,743,454
118599012,876,441,307
7903160,158,610,82
86085780,583,690,214
203168026,551,701,526
59246208,192,711,434
88607520,270,688,477
23344090,55,497,854
202266702,869,603,386
14526810,173,135,622
422541,353,133,9
202557576,367,793,696
104703300,513,314,650
2297120,980,586,4
74754768,211,726,488
17508500,970,38,475
101225760,212,552,865
155588946,597,311,838
133652655,345,491,789
109062000,250,498,876
6286896,972,14,462
58308624,562,786,132
36094240,370,268,364
134058300,811,725,228
128629248,176,736,993
678830400,799,885,960
52362900,797,180,365
438739740,895,801,612
50444240,380,862,154
3299940,540,9,679
126931022,334,419,907
48296320,64,965,782
8991000,125,888,81
417606156,612,697,979
477225000,625,945,808
2393776,67,406,88
621115264,952,674,968
5307840,40,171,776
77871090,319,618,395
128740885,637,415,487
184254588,411,593,756
51135840,120,684,623
143966592,616,541,432
17909568,236,744,102
144696312,524,667,414
5305872,286,24,773
45702448,76,692,869
127256866,193,902,731
201031596,723,348,799
316512986,698,467,971
119136864,284,908,462
62613376,448,469,298
195497384,278,974,722
59470,626,19,5
3679130,845,622,7
427254520,931,745,616
230534100,486,530,895
190964400,629,660,460
47140800,483,320,305
7068774,849,46,181
156659256,234,874,766
437537820,618,830,853
59274,18,37,89
75613440,776,336,290
4108952,398,29,356
262951624,478,596,923
158578,241,7,94
271384756,829,734,446
89410200,920,209,465
261120,12,272,80
340581234,381,953,938
129862656,976,432,308
234999492,273,994,866
364722140,955,614,622
13571217,841,489,33
173085248,679,569,448
687416640,978,764,920
40850125,191,295,725
94625688,206,606,758
208616712,967,404,534
168176268,793,822,258
7728300,372,831,25
339570,98,231,15
15148224,578,234,112
239154300,714,385,870
35439237,167,657,323
462560,98,20,236
5232615,667,15,523
80461952,359,272,824
30428706,539,97,582
91455210,913,189,530
152335144,953,232,689
64506375,621,277,375
10928456,154,113,628
55800500,596,535,175
6764656,239,122,232
231786954,753,882,349
130462500,525,284,875
117180,217,27,20
317636672,904,526,668
30226112,469,212,304
3034584,28,223,486
51453900,255,236,855
5185272,34,426,358
41255032,104,427,929
115034240,485,544,436
91179840,302,816,370
5740448,16,523,686
13034304,794,38,432
77192901,401,219,879
11681730,477,79,310
36002967,77,741,631
7053312,328,768,28
6068640,705,538,16
277823,13,497,43
186863040,832,345,651
20424524,292,619,113
29801736,843,982,36
62062320,174,740,482
40269690,417,222,435
4799640,69,235,296
11565450,135,659,130
269181440,640,484,869
8695186,197,761,58
21029994,122,963,179
24510276,606,54,749
33622290,103,351,930
127467375,991,525,245
71760000,400,230,780
32607360,148,270,816
56754432,672,276,306
51231600,855,80,749
246874680,520,963,493
124852644,378,691,478
437013950,995,835,526
210038400,264,975,816
20512800,231,148,600
170647074,813,897,234
154915885,733,983,215
23208640,797,112,260
147783978,633,501,466
16988244,987,662,26
33552246,377,978,91
773220,735,263,4
251100600,431,600,971
20167616,436,784,59
37850318,437,682,127
19949625,257,575,135
627169950,986,825,771
226469265,265,893,957
15371085,183,535,157
219985610,845,323,806
192084776,613,524,598
10522830,439,470,51
2649600,20,320,414
2654652,273,286,34
18666256,821,203,112
22675835,215,133,793
84320280,199,428,990
5746044,191,138,218
215027904,651,794,416
155734887,231,703,959
342219816,972,802,439
1096488,942,12,97
338672300,565,820,731
364844766,957,473,806
369492268,892,467,887
53548416,128,423,989
22880460,655,164,213
95392050,845,710,159
258894000,342,757,1000
21852138,462,203,233
11262732,559,138,146
10481000,446,940,25
2508768,843,496,6
14363120,151,328,290
18087840,53,540,632
46754820,434,190,567
110747979,289,747,513
275816100,735,647,580
40827861,309,277,477
122129784,252,886,547
266614656,889,426,704
19720000,290,500,136
144659790,954,165,919
129464928,306,496,853
18396560,494,38,980
501277920,660,872,871
78605280,272,342,845
36098815,349,151,685
5313600,16,369,900
283200000,500,800,708
10431779,589,199,89
12103938,198,287,213
156710925,365,705,609
3800160,224,117,145
687394848,818,854,984
35468382,327,281,386
103929000,808,525,245
15280650,525,441,66
718780968,824,927,941
28383600,109,300,868
77346680,932,430,193
73404912,238,543,568
332623920,668,645,772
58061568,184,519,608
4442508,289,36,427
8513011,97,559,157
533832960,688,795,976
227889060,420,761,713
146674542,597,322,763
292401168,708,446,926
3283314,57,166,347
625136118,921,733,926
2011032,136,477,31
191654400,744,350,736
90352521,971,211,441
26530560,752,140,252
97676970,635,827,186
170981760,872,645,304
108529512,229,637,744
97045770,307,514,615
469105056,536,906,966
18066440,280,113,571
20835468,963,36,601
73481184,168,508,861
452590875,825,835,657
9415488,38,356,696
416413376,688,674,898
8623131,809,561,19
227724640,269,880,962
167558112,456,708,519
469329336,961,798,612
65822564,628,281,373
14458400,53,880,310
24789519,629,453,87
2749529,197,821,17
13314378,69,358,539
875556,121,804,9
143009100,390,510,719
238253600,992,325,739
197522490,685,771,374
8092224,223,756,48
29493000,522,565,100
122943744,616,378,528
117389100,435,524,515
30774744,858,42,854
21309120,906,35,672
180224352,774,264,882
2687680,296,908,10
102056994,234,587,743
101228875,913,125,887
23974848,214,389,288
50046912,228,538,408
192900750,905,290,735
19802223,249,541,147
32373600,164,525,376
6048625,83,275,265
115662956,722,926,173
21544304,824,34,769
8656668,291,222,134
599447574,783,782,979
134952300,691,350,558
22188672,824,102,264
38149100,878,790,55
34180224,668,156,328
76692512,247,626,496
127440132,961,258,514
27780525,213,555,235
645753240,792,911,895
48096312,759,712,89
109439496,849,246,524
34475490,945,629,58
17254014,493,38,921
468581760,920,786,648
55935880,635,968,91
26325156,286,138,667
36179520,669,65,832
197133156,454,459,946
104640690,934,165,679
62959930,305,853,242
1796550,590,105,29
67747958,398,527,323
58098150,825,242,291
222535140,562,402,985
39914823,481,417,199
105988350,650,481,339
42520500,859,900,55
75925938,627,634,191
84743925,635,217,615
12040210,65,917,202
99245322,851,186,627
203597472,897,346,656
39449590,101,695,562
44304000,142,312,1000
101097984,166,624,976
315048692,841,787,476
72135360,792,92,990
4119885,123,165,203
9200800,25,868,424
118303500,570,593,350
389549160,611,966,660
4024080,414,540,18
1544400,88,130,135
57741552,396,174,838
168309966,814,471,439
106549340,146,874,835
79006662,339,434,537
123199230,665,802,231
85098357,501,243,699
18177042,39,587,794
28813323,539,103,519
11220820,130,206,419
46865700,602,865,90
385459500,500,939,821
225848896,532,628,676
139283620,155,938,958
151760532,518,759,386
1400472,212,367,18
328194210,983,359,930
9953760,932,12,890
604849175,925,763,857
61057920,280,924,236
67816476,819,254,326
165096130,551,415,722
231226470,669,615,562
38743296,732,64,827
92527500,949,375,260
238321692,809,588,501
1043328,24,988,44
58603116,338,213,814
5915520,12,790,624
35340676,613,116,497
374701080,796,710,663
281201535,933,849,355
4764096,64,919,81
82560192,388,372,572
182912400,744,447,550
185753700,450,647,638
27046656,351,448,172
142758987,587,777,313
37729440,456,591,140
1895124,11,586,294
43381338,273,341,466
152290624,424,556,646
638175888,883,756,956
5077628,839,34,178
212989430,782,893,305
227995768,994,401,572
297426657,877,473,717
35473200,206,525,328
278580204,747,532,701
53270016,474,256,439
20909070,910,621,37
4148160,12,464,745
165329020,838,218,905
94245824,986,824,116
42798600,325,472,279
22052745,897,55,447
352037520,927,752,505
118662336,897,848,156
26915328,594,118,384
336096,778,9,48
274078080,432,933,680
2487450,805,309,10
38916000,423,736,125
26550615,367,265,273
42750990,365,162,723
35149788,81,691,628
102767280,415,938,264
75880560,620,329,372
403177365,849,519,915
11270116,442,671,38
20002200,222,530,170
5706360,262,198,110
5433672,74,87,844
33282700,550,158,383
193804358,347,958,583
218514600,680,555,579
28598940,90,633,502
93615976,197,622,764
24963392,188,193,688
199782450,810,435,567
106780508,461,316,733
289781906,467,691,898
225919512,492,754,609
313906560,835,528,712
102073400,860,286,415
344777900,673,545,940
46534600,602,100,773
3884704,772,68,74
1493820,193,258,30
7438656,53,816,172
72301680,179,459,880
323268075,377,925,927
162954801,951,723,237
62226574,719,794,109
1210056,794,4,381
370622840,905,721,568
20735920,193,395,272
33286000,890,136,275
12477556,826,26,581
134194320,767,648,270
271391155,337,931,865
7130480,749,80,119
98147426,221,494,899
142984548,287,756,659
97251360,383,529,480
338775099,403,933,901
172657845,747,811,285
8741760,314,870,32
59903200,563,152,700
3345408,484,72,96
442260,21,135,156
369023200,959,416,925
75654243,261,387,749
1131273,429,293,9
2298240,70,57,576
31802197,581,431,127
20363280,476,186,230
98199816,806,286,426
42351216,344,142,867
138064279,277,703,709
12555840,87,451,320
552677994,759,942,773
130527108,492,463,573
57644790,510,241,469
2071968,48,113,382
129399750,153,850,995
306931872,816,629,598
18651996,627,268,111
20295660,46,770,573
219535920,972,982,230
130532480,290,541,832
474320961,801,867,683
234884251,809,413,703
873269856,944,926,999
528220,98,11,490
168009480,788,515,414
543456,54,37,272
160052079,379,737,573
2440240,80,517,59
5354240,64,445,188
12688660,116,131,835
19459440,99,273,720
32649120,984,395,84
66906458,901,107,694
122861232,786,501,312
134037144,908,417,354
836380,620,19,71
105849072,609,816,213
67288320,270,704,354
35017000,776,125,361
86647914,837,271,382
485615625,831,625,935
225689688,833,954,284
129799488,884,532,276
77804766,117,822,809
60931740,527,705,164
4854424,218,586,38
303114582,719,999,422
40635000,105,774,500
85836800,400,479,448
101565828,182,903,618
425746096,731,712,818
95700150,513,650,287
9280670,35,394,673
193558890,665,349,834
195301743,559,381,917
39153920,208,520,362
71115440,440,422,383
118474928,848,143,977
365248,878,104,4
25697280,956,420,64
38270400,268,300,476
19760048,473,112,373
710451,179,189,21
186630437,901,233,889
442141282,781,794,713
45505600,478,160,595
93842064,342,927,296
166770576,496,593,567
35311320,555,66,964
31875843,53,899,669
65436800,352,845,220
5305830,141,265,142
91824759,377,291,837
45040450,494,175,521
14810400,765,220,88
225741736,356,902,703
5033700,420,85,141
560548800,600,996,938
178156726,751,263,902
3325924,497,956,7
208156278,671,347,894
5864614,98,103,581
114892200,284,725,558
5166168,966,764,7
229769232,913,321,784
17156592,283,842,72
107704044,204,651,811
184683570,354,691,755
21431340,699,438,70
57531276,99,613,948
6779766,479,337,42
114411066,363,958,329
15456420,174,189,470
49331106,837,893,66
148129630,995,202,737
41637960,533,360,217
17321850,182,405,235
217102380,451,710,678
22016256,526,96,436
40545612,388,683,153
100571328,121,888,936
70603400,235,812,370
286855184,616,671,694
56481360,520,129,842
88996530,714,257,485
176978568,793,547,408
126762944,887,616,232
101112531,667,507,299
8197980,447,35,524
21317637,249,181,473
125936388,346,657,554
127732410,585,723,302
14824782,27,769,714
45437195,545,317,263
80575110,242,735,453
14015232,21,948,704
29938788,316,957,99
207021430,638,889,365
814557,53,109,141
205589538,703,633,462
185592195,305,837,727
300108,843,2,178
72452016,388,273,684
64009029,929,357,193
16982630,158,581,185
19006944,88,439,492
57955975,847,595,115
59892,7,138,62
21843600,150,334,436
10218240,18,887,640
449176320,768,951,615
168168528,297,688,823
43289244,687,178,354
93746270,157,841,710
64385280,276,405,576
630180,778,90,9
45902940,222,290,713
58907168,94,848,739
74065800,950,876,89
34904520,729,60,798
76139336,268,446,637
14209216,46,394,784
39887960,94,866,490
175841232,469,642,584
80826500,170,925,514
3469836,204,233,73
390435840,458,960,888
91516204,331,676,409
208419624,903,326,708
217306800,456,675,706
79568580,455,494,354
47108250,50,997,945
40771016,157,908,286
29752560,930,516,62
11059775,491,901,25
922480,40,26,887
10028480,185,242,224
123631040,832,565,263
140417325,515,747,365
8114064,246,434,76
376730144,698,632,854
8150088,293,228,122
106605472,526,212,956
55501290,507,890,123
6047426,77,734,107
741494592,856,954,908
747693450,890,945,889
2755836,76,237,153
57092310,99,818,705
653184,432,504,3
41627520,864,365,132
219552480,947,315,736
310010568,518,636,941
62347598,431,151,958
192300750,450,919,465
79804560,473,190,888
16211256,219,974,76
215251344,378,792,719
181976886,269,882,767
25207875,315,291,275
66284288,787,329,256
51480,39,110,12
136041048,792,181,949
30067169,799,121,311
8965710,790,97,117
10155104,58,706,248
113145760,532,818,260
12167792,548,427,52
63414406,341,869,214
170128640,344,880,562
84532410,243,809,430
109970640,930,379,312
174303568,514,776,437
295778400,800,491,753
37070064,51,797,912
24041808,483,244,204
3010868,14,586,367
246559464,402,631,972
107786518,469,761,302
934650,93,150,67
96397600,299,400,806
20974005,95,663,333
97872858,471,587,354
269264736,976,351,786
4628624,374,91,136
351509728,956,472,779
61453440,454,564,240
1675240,434,772,5
9845550,130,935,81
1438400,100,62,232
130636308,636,263,781
239958030,893,845,318
363000,10,66,550
370228320,616,756,795
27775308,407,188,363
29725800,206,390,370
248548160,856,680,427
10313676,444,87,267
25684480,158,320,508
667513600,923,904,800
57739542,147,709,554
583596246,971,654,919
29231832,938,106,294
47896832,256,223,839
2109228,29,87,836
266888610,310,993,867
118932800,820,784,185
1853700,75,334,74
139158432,504,692,399
12261375,865,63,225
147750689,443,853,391
512720,68,754,10
216416534,706,317,967
157585920,578,480,568
10519470,111,351,270
1038960,37,720,39
61440,768,4,20
237509256,557,436,978
145214520,660,803,274
30729897,341,93,969
11563560,54,415,516
56713184,121,776,604
376443180,999,830,454
22963500,405,252,225
24658608,52,919,516
24436185,95,479,537
197765472,752,318,827
94972416,896,876,121
9702504,414,378,62
3645540,157,27,860
3861298,961,574,7
58610502,101,939,618
58236234,349,822,203
309391736,626,787,628
36324750,595,74,825
2345310,69,165,206
279003200,859,560,580
58171428,147,673,588
84199500,990,270,315
397110,93,427,10
27797376,379,191,384
60482400,632,100,957
244571152,812,694,434
150040550,803,925,202
22652784,681,308,108
17469408,264,932,71
313443000,494,900,705
89584944,556,174,926
50127000,350,372,385
47205340,701,148,455
3286240,752,5,874
527012904,652,993,814
55514134,851,386,169
1182434,11,757,142
49049520,390,316,398
627224654,839,938,797
83127671,331,869,289
24533720,218,662,170
62220456,302,291,708
105559524,441,244,981
288636660,598,558,865
126068250,825,590,259
5785764,249,628,37
62197866,493,163,774
253044000,891,400,710
70693694,958,677,109
345535272,466,774,958
288730962,751,558,689
37166148,62,918,653
300138685,917,605,541
437232888,699,804,778
139156860,985,772,183
687660,292,3,785
152366940,396,681,565
9356256,936,357,28
16344900,508,39,825
118900800,414,400,718
5903364,438,586,23
19497192,456,169,253
103735478,586,209,847
82843956,773,156,687
3345024,562,186,32
121152691,587,647,319
81956010,426,545,353
132892160,736,592,305
115696960,496,428,545
79176924,163,618,786
336319496,808,463,899
65782860,451,780,187
115683744,866,138,968
8176365,171,365,131
82654534,571,157,922
95719008,528,563,322
37618080,80,719,654
43872948,378,443,262
15173928,322,693,68
2870400,920,65,48
221328,29,9,848
192912096,208,993,934
8237361,517,141,113
29764032,912,82,398
15258672,114,338,396
15054656,68,808,274
20375460,314,721,90
254470320,877,403,720
3687147,27,277,493
181624768,521,832,419
179050176,696,648,397
91350644,914,154,649
122019849,329,841,441
368044110,785,549,854
14481720,55,276,954
5585430,717,779,10
7746048,656,492,24
216418030,674,431,745
6856610,106,85,761
167642112,704,968,246
52384140,969,340,159
4700160,32,340,432
195039840,590,388,852
11456505,45,339,751
315423408,991,698,456
24550890,510,91,529
355584,12,64,463
27583118,46,713,841
11089680,138,245,328
5952569,413,29,497
200919496,562,556,643
87289530,383,535,426
24956100,585,54,790
202859160,518,732,535
17570796,41,503,852
630842216,827,983,776
34891296,703,282,176
249075840,587,780,544
652154976,864,771,979
317175612,811,598,654
297251724,644,781,591
22140538,563,742,53
24455200,794,275,112
158775552,608,648,403
98495724,563,239,732
97349616,532,468,391
74748660,714,551,190
19452510,802,77,315
164531250,375,975,450
16892160,384,830,53
80719100,953,847,100
2413737,3,807,997
8837591,581,371,41
7302308,494,778,19
438331230,999,445,986
24250745,95,643,397
43807008,146,893,336
285411542,611,751,622
78237250,475,181,910
138189888,513,368,732
81952000,788,325,320
28454400,400,468,152
389469465,543,759,945
165312576,429,892,432
178963992,531,604,558
105095004,966,409,266
58812012,644,139,657
29281894,311,179,526
217783800,780,681,410
163676160,256,864,740
82764396,699,198,598
7913880,178,570,78
56526800,443,200,638
379638480,898,520,813
280564796,941,569,524
116653689,477,937,261
535880807,781,737,931
222183420,545,641,636
81557298,339,794,303
35120400,518,452,150
31438740,332,177,535
77982672,102,842,908
25769263,361,247,289
604665622,902,839,799
4083784,802,268,19
333686241,749,531,839
47260140,865,157,348
83126120,985,88,959
84731302,977,842,103
467967084,949,654,754
23957500,148,625,259
592286310,945,919,682
2003260,287,349,20
11489544,66,978,178
62270124,852,197,371
171112500,390,450,975
13887300,119,778,150
16043170,130,143,863
187319440,647,880,329
439106096,949,484,956
198217564,634,446,701
244075080,345,764,926
69810840,561,136,915
229569900,582,686,575
79669755,591,627,215
50412780,660,943,81
261159756,509,598,858
90524280,505,679,264
53555640,430,582,214
11208080,104,829,130
160898625,423,425,895
85289750,805,163,650
83315840,536,268,580
9285948,426,173,126
135174420,543,270,922
42750240,408,676,155
145780635,949,285,539
136902150,439,330,945
46222432,752,146,421
676712448,864,844,928
153853282,218,913,773
69599370,662,645,163
151239420,846,295,606
122863125,575,925,231
21489570,513,590,71
85013888,134,862,736
82084352,619,259,512
32164132,286,406,277
485103177,949,771,663
9828720,360,73,374
63729204,649,668,147
234749228,823,668,427
44811360,492,828,110
2637800,22,436,275
63348144,106,888,673
113376060,595,201,948
75246225,575,241,543
243833499,581,663,633
4310796,146,518,57
85362525,173,645,765
119996640,846,360,394
189197166,461,937,438
128513880,748,415,414
68850498,683,318,317
238414944,734,402,808
1050396,19,204,271
29012200,680,161,265
27765400,118,260,905
5302776,82,951,68
437696532,628,777,897
27263000,137,995,200
68250600,766,990,90
12648000,51,248,1000
40006848,672,103,578
10008400,655,40,382
71695470,231,757,410
311795968,526,704,842
74497500,210,430,825
240050290,557,710,607
4801104,433,84,132
334628000,532,740,850
80150400,253,900,352
5666304,496,48,238
122060928,781,592,264
91080288,459,468,424
2086610,127,155,106
89724096,588,816,187
6819162,687,709,14
114586080,509,336,670
192602424,669,742,388
44241120,836,105,504
34325856,123,608,459
317945475,823,765,505
333675936,517,996,648
116747568,757,504,306
50624028,819,204,303
65107917,441,161,917
370718712,959,936,413
17219952,108,516,309
277677456,562,519,952
49663068,292,267,637
350486832,556,802,786
37505160,984,315,121
23312800,362,100,644
349516944,708,756,653
5091750,75,930,73
51337449,361,207,687
234049002,591,517,766
40847328,612,927,72
141751680,199,960,742
180775056,308,708,829
293471682,491,931,642
296898304,664,628,712
134074050,363,830,445
45061770,195,509,454
1047708,178,654,9
152526262,371,698,589
214955832,871,273,904
48993600,346,236,600
414144900,810,598,855
2831044,527,158,34
217289604,926,302,777
48405707,287,743,227
16027200,280,795,72
49701600,720,390,177
9712500,350,150,185
53208936,92,762,759
31223626,367,103,826
723120,131,368,15
131693142,266,727,681
456268056,587,932,834
735126,3,761,322
3123344,316,28,353
101355870,935,174,623
172098981,921,313,597
516904740,879,594,990
237362055,511,519,895
297818674,713,914,457
1934646,6,631,511
450979710,877,562,915
50411484,684,431,171
14136,248,1,57
164339170,415,646,613
22454256,989,132,172
123053512,844,538,271
86913750,490,375,473
13896090,390,321,111
107362160,370,437,664
13930800,235,195,304
230861580,345,967,692
109131120,210,734,708
291272832,834,642,544
9080190,58,497,315
28889616,346,168,497
169970658,663,473,542
388631750,607,985,650
372850338,659,709,798
573530982,911,993,634
227818800,792,523,550
13028400,235,154,360
10197560,149,295,232
36921930,185,899,222
149646786,667,613,366
5140296,36,217,658
33238296,456,91,801
117176040,456,555,463
166440960,645,336,768
87983130,615,307,466
407519120,530,862,892
20285980,715,82,346
9766240,341,716,40
168000,350,60,8
71347771,253,827,341
461089980,765,692,871
72822700,887,821,100
68355960,710,113,852
4761900,165,444,65
163105068,938,794,219
45969984,719,288,222
15375906,182,149,567
88446400,848,298,350
34781814,186,751,249
61180392,728,771,109
64222704,312,406,507
146380496,656,227,983
225860000,982,460,500
92177676,514,246,729
89410648,797,379,296
5470080,56,296,330
588820680,820,973,738
32131674,159,927,218
311040,864,9,40
44448470,815,74,737
53003800,824,415,155
8338308,181,698,66
660192,3,368,598
352269888,752,758,618
216891066,478,861,527
435401960,697,920,679
89109072,468,258,738
538209690,705,911,838
76282752,481,472,336
27310760,47,995,584
375951240,446,892,945
35434620,342,797,130
34518780,438,185,426
271645665,509,757,705
7552170,166,135,337
166213620,564,295,999
105140880,564,717,260
3703392,22,668,252
148391710,205,886,817
254522016,573,661,672
390970125,603,665,975
1322244,63,53,396
1075680,2,664,810
20746800,432,425,113
576640176,667,868,996
91173996,246,669,554
20076660,85,324,729
287884603,463,967,643
469210320,810,824,703
98828100,189,747,700
37186149,49,957,793
81309942,489,518,321
94252642,166,781,727
6928825,475,503,29
201841524,577,738,474
47069088,212,638,348
359723000,826,670,650
131013696,246,979,544
5880000,875,70,96
45367920,262,520,333
62031200,530,770,152
3611880,790,762,6
231990,66,703,5
499741408,712,773,908
10978902,909,198,61
182234040,237,818,940
218407488,507,508,848
197714790,619,507,630
189942480,223,910,936
70715400,565,168,745
33733000,395,700,122
36777186,333,699,158
29559600,80,391,945
38708750,179,346,625
45828816,123,803,464
90019512,264,657,519
271403152,976,487,571
9566424,81,456,259
34068132,62,801,686
105885525,547,435,445
67278848,247,532,512
84072000,620,678,200
72736560,312,409,570
22509468,222,774,131
81435732,427,691,276
8377138,209,98,409
42534198,327,489,266
15177504,114,212,628
13956434,139,122,823
58326530,643,386,235
83783336,802,364,287
135046800,920,210,699
444744625,925,569,845
508491,37,27,509
172541358,319,906,597
761398036,898,994,853
5102592,384,44,302
131708902,857,257,598
26987840,697,484,80
66420144,503,336,393
84932800,436,487,400
102699630,594,755,229
45036162,459,207,474
97198926,318,751,407
477015588,882,553,978
168467500,790,853,250
14236448,529,464,58
325816712,871,856,437
602913024,733,918,896
56869110,662,115,747
95501628,727,492,267
54510099,147,601,617
42849352,284,829,182
114460500,330,991,350
170034123,681,371,673
204595200,740,360,768
418467840,834,784,640
234215100,658,678,525
24000272,74,571,568
2001636,338,423,14
53846380,217,380,653
65964360,924,295,242
142078075,613,365,635
402685344,648,674,922
73595670,227,642,505
2768112,818,9,376
5396328,301,249,72
17006285,43,415,953
5779378,11,593,886
56175768,426,444,297
25096512,224,789,142
54264000,95,840,680
8833440,239,840,44
108789575,335,607,535
60437895,505,973,123
38140782,282,211,641
167640704,466,704,511
322848,144,38,59
354620,10,298,119
294072636,818,419,858
55174400,64,932,925
102575640,309,772,430
127573600,872,385,380
261944280,691,810,468
14681030,170,91,949
1439424,357,12,336
17035392,64,327,814
164414010,401,474,865
15008040,94,887,180
25612800,290,138,640
91520,4,130,176
246340,545,4,113
4827240,55,477,184
353502144,582,608,999
628646400,680,960,963
21130200,150,258,546
373181424,938,484,822
32103210,685,321,146
40512040,883,148,310
52826418,186,471,603
120692880,770,622,252
252909,323,29,27
94697856,846,583,192
37394784,486,336,229
9760464,421,414,56
59013150,555,434,245
14628600,150,129,756
156738456,826,753,252
387244870,527,746,985
7777744,613,61,208
29367936,234,424,296
153338640,364,595,708
49884120,663,99,760
4055520,710,272,21
6029732,149,151,268
129663600,418,564,550
306878880,836,456,805
83704038,506,201,823
1222452,84,27,539
7237755,405,37,483
66744000,900,180,412
45808434,334,933,147
57098880,144,920,431
567352080,740,916,837
4940055,23,333,645
252763532,706,478,749
18839342,218,971,89
29114568,947,427,72
7546000,14,875,616
228739,7,797,41
16696896,437,597,64
139110160,371,872,430
50084892,598,517,162
103548768,947,272,402
312662285,503,655,949
281457960,735,634,604
322169229,349,941,981
425780040,788,930,581
6442524,561,319,36
62153084,937,644,103
12961280,415,122,256
115935460,670,359,482
80442936,996,641,126
43663776,593,472,156
189524478,363,934,559
1330335,255,111,47
67283076,742,357,254
17377080,685,56,453
79848150,905,865,102
231793897,751,841,367
